MMSI,DATA ESTRAZIONE,ORA ESTRAZIONE,PORTO
605076000,2025-09-04,18:12:03,Alger (Algiers)
605056210,2025-09-04,18:12:03,Alger (Algiers)
605086016,2025-09-04,18:12:03,Alger (Algiers)
605086010,2025-09-04,18:12:03,Alger (Algiers)
605086060,2025-09-04,18:12:03,Alger (Algiers)
256589000,2025-09-04,18:12:03,Alger (Algiers)
271042494,2025-09-04,18:12:03,Alger (Algiers)
352005420,2025-09-04,18:12:03,Alger (Algiers)
605116730,2025-09-04,18:12:03,Alger (Algiers)
605106414,2025-09-04,18:12:03,Alger (Algiers)
412043240,2025-09-04,18:12:03,Arzew
538004901,2025-09-04,18:12:03,Arzew
605266428,2025-09-04,18:12:03,Arzew
356522000,2025-09-04,18:12:03,Arzew
255806435,2025-09-04,18:12:03,Arzew
375778000,2025-09-04,18:12:03,Arzew
538010003,2025-09-04,18:12:03,Arzew
605106423,2025-09-04,18:12:03,Arzew
215910000,2025-09-04,18:12:03,Arzew
677019800,2025-09-04,18:12:03,Arzew
352001774,2025-09-04,18:12:03,Ghazaouet
352921000,2025-09-04,18:12:03,Ghazaouet
352978144,2025-09-04,18:12:03,Mostaganem
577138000,2025-09-04,18:12:03,Mostaganem
629009332,2025-09-04,18:12:03,Mostaganem
405000420,2025-09-04,18:12:03,Mostaganem
605076261,2025-09-04,18:12:03,Oran
605086011,2025-09-04,18:12:03,Oran
564881000,2025-09-04,18:12:03,Oran
636014524,2025-09-04,18:12:03,Oran
538011126,2025-09-04,18:12:03,Oran
605126910,2025-09-04,18:12:03,Oran
412345000,2025-09-04,18:12:03,Oran
605000000,2025-09-04,18:12:03,Oran
667002297,2025-09-04,18:12:03,Oran
277549000,2025-09-04,18:12:03,Oran
677028100,2025-09-04,18:12:03,Dumyat (Damietta)
622177207,2025-09-04,18:12:03,Dumyat (Damietta)
538005208,2025-09-04,18:12:03,Dumyat (Damietta)
622177202,2025-09-04,18:12:03,Dumyat (Damietta)
622177219,2025-09-04,18:12:03,Dumyat (Damietta)
622177206,2025-09-04,18:12:03,Dumyat (Damietta)
622177217,2025-09-04,18:12:03,Dumyat (Damietta)
341940001,2025-09-04,18:12:03,Dumyat (Damietta)
622177205,2025-09-04,18:12:03,Dumyat (Damietta)
622177208,2025-09-04,18:12:03,Dumyat (Damietta)
622112844,2025-09-04,18:12:03,El Iskandariya (Alexandria)
636020467,2025-09-04,18:12:03,El Iskandariya (Alexandria)
370998000,2025-09-04,18:12:03,El Iskandariya (Alexandria)
622112887,2025-09-04,18:12:03,El Iskandariya (Alexandria)
677064000,2025-09-04,18:12:03,El Iskandariya (Alexandria)
352524000,2025-09-04,18:12:03,El Iskandariya (Alexandria)
622112849,2025-09-04,18:12:03,El Iskandariya (Alexandria)
622112832,2025-09-04,18:12:03,El Iskandariya (Alexandria)
622000000,2025-09-04,18:12:03,El Iskandariya (Alexandria)
622112864,2025-09-04,18:12:03,El Iskandariya (Alexandria)
622110690,2025-09-04,18:12:03,Sokhna Port
