MMSI,DATA ESTRAZIONE,ORA ESTRAZIONE,PORTO
605076000,2025-09-04,13:11:09,Alger (Algiers)
605056210,2025-09-04,13:11:09,Alger (Algiers)
605086010,2025-09-04,13:11:09,Alger (Algiers)
605086016,2025-09-04,13:11:09,Alger (Algiers)
605086015,2025-09-04,13:11:09,Alger (Algiers)
268240002,2025-09-04,13:11:09,Alger (Algiers)
352005420,2025-09-04,13:11:09,Alger (Algiers)
636019446,2025-09-04,13:11:09,Alger (Algiers)
642112004,2025-09-04,13:11:09,Alger (Algiers)
636021484,2025-09-04,13:11:09,Alger (Algiers)
412043240,2025-09-04,13:11:09,Arzew
677019800,2025-09-04,13:11:09,Arzew
538004901,2025-09-04,13:11:09,Arzew
375778000,2025-09-04,13:11:09,Arzew
605106423,2025-09-04,13:11:09,Arzew
374552000,2025-09-04,13:11:09,Arzew
538010003,2025-09-04,13:11:09,Arzew
605266428,2025-09-04,13:11:09,Arzew
311058600,2025-09-04,13:11:09,Arzew
255806435,2025-09-04,13:11:09,Arzew
352001774,2025-09-04,13:11:09,Ghazaouet
352921000,2025-09-04,13:11:09,Ghazaouet
629009332,2025-09-04,13:11:09,Mostaganem
405000420,2025-09-04,13:11:09,Mostaganem
577138000,2025-09-04,13:11:09,Mostaganem
352978144,2025-09-04,13:11:09,Mostaganem
605076261,2025-09-04,13:11:09,Oran
605086011,2025-09-04,13:11:09,Oran
538011126,2025-09-04,13:11:09,Oran
605086020,2025-09-04,13:11:09,Oran
352003075,2025-09-04,13:11:09,Oran
277549000,2025-09-04,13:11:09,Oran
605000000,2025-09-04,13:11:09,Oran
357321000,2025-09-04,13:11:09,Oran
667002297,2025-09-04,13:11:09,Oran
354562000,2025-09-04,13:11:09,Oran
677028100,2025-09-04,13:11:09,Dumyat (Damietta)
622177207,2025-09-04,13:11:09,Dumyat (Damietta)
538005208,2025-09-04,13:11:09,Dumyat (Damietta)
622177202,2025-09-04,13:11:09,Dumyat (Damietta)
622177208,2025-09-04,13:11:09,Dumyat (Damietta)
622177205,2025-09-04,13:11:09,Dumyat (Damietta)
622177219,2025-09-04,13:11:09,Dumyat (Damietta)
636021598,2025-09-04,13:11:09,Dumyat (Damietta)
622177218,2025-09-04,13:11:09,Dumyat (Damietta)
622177206,2025-09-04,13:11:09,Dumyat (Damietta)
622112844,2025-09-04,13:11:09,El Iskandariya (Alexandria)
636020467,2025-09-04,13:11:09,El Iskandariya (Alexandria)
622112887,2025-09-04,13:11:09,El Iskandariya (Alexandria)
219027463,2025-09-04,13:11:09,El Iskandariya (Alexandria)
677064000,2025-09-04,13:11:09,El Iskandariya (Alexandria)
352524000,2025-09-04,13:11:09,El Iskandariya (Alexandria)
622112849,2025-09-04,13:11:09,El Iskandariya (Alexandria)
622112832,2025-09-04,13:11:09,El Iskandariya (Alexandria)
622000000,2025-09-04,13:11:09,El Iskandariya (Alexandria)
622112864,2025-09-04,13:11:09,El Iskandariya (Alexandria)
622110690,2025-09-04,13:11:09,Sokhna Port
477007300,2025-09-04,13:11:09,Sokhna Port
353274000,2025-09-04,13:11:09,Sokhna Port
563118100,2025-09-04,13:11:09,Sokhna Port
636022060,2025-09-04,13:11:09,Sokhna Port
352004738,2025-09-04,13:11:09,Sokhna Port
311000676,2025-09-04,13:11:09,Sokhna Port
622112884,2025-09-04,13:11:09,El Dekheila
622112202,2025-09-04,13:11:09,El Dekheila
622112837,2025-09-04,13:11:09,El Dekheila
636016478,2025-09-04,13:11:09,El Dekheila
255805673,2025-09-04,13:11:09,El Dekheila
622112891,2025-09-04,13:11:09,El Dekheila
622122280,2025-09-04,13:11:09,El Dekheila
622112833,2025-09-04,13:11:09,El Dekheila
622122279,2025-09-04,13:11:09,El Dekheila
312004000,2025-09-04,13:11:09,El Dekheila
209289000,2025-09-04,13:11:09,Port Said
622110353,2025-09-04,13:11:09,Port Said
240057900,2025-09-04,13:11:09,Port Said
240651100,2025-09-04,13:11:09,Port Said
622107228,2025-09-04,13:11:09,Port Said
622108775,2025-09-04,13:11:09,Port Said
341624000,2025-09-04,13:11:09,Port Said
622097325,2025-09-04,13:11:09,Port Said
622110357,2025-09-04,13:11:09,Port Said
622123252,2025-09-04,13:11:09,Port Said
304366000,2025-09-04,13:11:09,Bizerte
232050688,2025-09-04,13:11:09,Bizerte
314776000,2025-09-04,13:11:09,Bizerte
672585000,2025-09-04,13:11:09,Bizerte
6725030,2025-09-04,13:11:09,Bizerte
352002790,2025-09-04,13:11:09,Bizerte
566255000,2025-09-04,13:11:09,Bizerte
341501001,2025-09-04,13:11:09,Sfax
538004100,2025-09-04,13:11:09,Sfax
636020435,2025-09-04,13:11:09,Sfax
352005778,2025-09-04,13:11:09,Sousse
636021701,2025-09-04,13:11:09,Sousse
672707000,2025-09-04,13:11:09,Sousse
671517100,2025-09-04,13:11:09,Sousse
312591000,2025-09-04,13:11:09,Sousse
672247000,2025-09-04,13:11:09,Tunis
672718000,2025-09-04,13:11:09,Tunis
538007572,2025-09-04,13:11:09,Tunis
672263000,2025-09-04,13:11:09,Tunis
538006867,2025-09-04,13:11:09,Tunis
242410400,2025-09-04,13:11:09,Tunis
672262000,2025-09-04,13:11:09,Tunis
248392000,2025-09-04,13:11:09,Tunis
256798000,2025-09-04,13:11:09,Tunis
255806270,2025-09-04,13:11:09,Tunis
334410000,2025-09-04,13:11:09,Casablanca
242000201,2025-09-04,13:11:09,Casablanca
245383000,2025-09-04,13:11:09,Casablanca
242000321,2025-09-04,13:11:09,Casablanca
242133100,2025-09-04,13:11:09,Casablanca
242575000,2025-09-04,13:11:09,Casablanca
209005000,2025-09-04,13:11:09,Casablanca
376937000,2025-09-04,13:11:09,Casablanca
242416400,2025-09-04,13:11:09,Casablanca
242152100,2025-09-04,13:11:09,Casablanca
242187200,2025-09-04,13:11:09,Agadir
312149000,2025-09-04,13:11:09,Agadir
242907000,2025-09-04,13:11:09,Agadir
242562000,2025-09-04,13:11:09,Agadir
242958300,2025-09-04,13:11:09,Agadir
242449400,2025-09-04,13:11:09,Agadir
242111400,2025-09-04,13:11:09,Agadir
242017400,2025-09-04,13:11:09,Agadir
242531300,2025-09-04,13:11:09,Agadir
636015094,2025-09-04,13:11:09,Agadir
242053000,2025-09-04,13:11:09,Nador
242709200,2025-09-04,13:11:09,Nador
242111111,2025-09-04,13:11:09,Nador
242191400,2025-09-04,13:11:09,Nador
538004922,2025-09-04,13:11:09,Nador
253000159,2025-09-04,13:11:09,Nador
242530300,2025-09-04,13:11:09,Nador
210072000,2025-09-04,13:11:09,Nador
247163900,2025-09-04,13:11:09,Nador
224637000,2025-09-04,13:11:09,Nador
209678000,2025-09-04,13:11:09,Tanger Med
209819000,2025-09-04,13:11:09,Tanger Med 
242562300,2025-09-04,13:11:09,Tanger Med 
242905000,2025-09-04,13:11:09,Tanger Med 
563059200,2025-09-04,13:11:09,Tanger Med 
538011722,2025-09-04,13:11:09,Tanger Med 
566796000,2025-09-04,13:11:09,Tanger Med 
256019000,2025-09-04,13:11:09,Tanger Med 
242533400,2025-09-04,13:11:09,Tanger Med 
241954000,2025-09-04,13:11:09,Tanger Med 
242903000,2025-09-04,13:11:09,Tanger Med 
357260000,2025-09-04,13:11:09,Abidjan
351862000,2025-09-04,13:11:09,Abidjan
414585000,2025-09-04,13:11:09,Abidjan
636092982,2025-09-04,13:11:09,Abidjan
305394000,2025-09-04,13:11:09,Abidjan
247451600,2025-09-04,13:11:09,Abidjan
636013068,2025-09-04,13:11:09,Abidjan
636020592,2025-09-04,13:11:09,Abidjan
352004869,2025-09-04,13:11:09,Abidjan
667001801,2025-09-04,13:11:09,Abidjan
247078800,2025-09-04,13:11:09,Pointe Noire
277397000,2025-09-04,13:11:09,Pointe Noire
352001654,2025-09-04,13:11:09,Pointe Noire
636016321,2025-09-04,13:11:09,Pointe Noire
538005708,2025-09-04,13:11:09,Maputo
636017897,2025-09-04,13:11:09,Maputo
563088500,2025-09-04,13:11:09,Maputo
538090647,2025-09-04,13:11:09,Maputo
255805661,2025-09-04,13:11:09,Nacala
314501000,2025-09-04,13:11:09,Mombasa
405000340,2025-09-04,13:11:09,Mombasa
636020610,2025-09-04,13:11:09,Mombasa
636018629,2025-09-04,13:11:09,Mombasa
413247480,2025-09-04,13:11:09,Mombasa
259023000,2025-09-04,13:11:09,Mombasa
538003114,2025-09-04,13:11:09,Mombasa
256208000,2025-09-04,13:11:09,Mombasa
636024415,2025-09-04,13:11:09,Mombasa
636021356,2025-09-04,13:11:09,Lobito
314736000,2025-09-04,13:11:09,Lobito
357705000,2025-09-04,13:11:09,Luanda
563130100,2025-09-04,13:11:09,Luanda
636016852,2025-09-04,13:11:09,Luanda
352004190,2025-09-04,13:11:09,Luanda
311038600,2025-09-04,13:11:09,Soyo
352003590,2025-09-04,13:11:09,Takoradi
538011406,2025-09-04,13:11:09,Takoradi
352002135,2025-09-04,13:11:09,Takoradi
311000621,2025-09-04,13:11:09,Tema
374854000,2025-09-04,13:11:09,Tema
538006829,2025-09-04,13:11:09,Tema
354294000,2025-09-04,13:11:09,Tema
215418000,2025-09-04,13:11:09,Tema
247452100,2025-09-04,13:11:09,Tema
311000855,2025-09-04,13:11:09,Tema
563237900,2025-09-04,13:11:09,Tema
525038992,2025-09-04,13:11:09,Nouadhibou
271073340,2025-09-04,13:11:09,Nouadhibou
325128700,2025-09-04,13:11:09,Nouadhibou
271069004,2025-09-04,13:11:09,Nouadhibou
271073392,2025-09-04,13:11:09,Nouadhibou
375865000,2025-09-04,13:11:09,Nouadhibou
376487000,2025-09-04,13:11:09,Nouadhibou
654045600,2025-09-04,13:11:09,Nouadhibou
271062115,2025-09-04,13:11:09,Nouadhibou
271073280,2025-09-04,13:11:09,Nouadhibou
654099000,2025-09-04,13:11:09,Nouakchott
566353000,2025-09-04,13:11:09,Nouakchott
314800000,2025-09-04,13:11:09,Nouakchott
258060000,2025-09-04,13:11:09,Nouakchott
636020192,2025-09-04,13:11:09,Nouakchott
636020259,2025-09-04,13:11:09,Nouakchott
636092826,2025-09-04,13:11:09,Nouakchott
229115000,2025-09-04,13:11:09,Nouakchott
636019759,2025-09-04,13:11:09,Dar es Salaam
538003719,2025-09-04,13:11:09,Dar es Salaam
477925400,2025-09-04,13:11:09,Dar es Salaam
636018693,2025-09-04,13:11:09,Dar es Salaam
677073300,2025-09-04,13:11:09,Dar es Salaam
563272900,2025-09-04,13:11:09,Dar es Salaam
677038200,2025-09-04,13:11:09,Dar es Salaam
636022215,2025-09-04,13:11:09,Dar es Salaam
422026500,2025-09-04,13:11:09,Dar es Salaam
257548000,2025-09-04,13:11:09,Dar es Salaam
663136000,2025-09-04,13:11:09,Dakar
663000001,2025-09-04,13:11:09,Dakar
225987981,2025-09-04,13:11:09,Dakar
373534000,2025-09-04,13:11:09,Dakar
663285000,2025-09-04,13:11:09,Dakar
663226000,2025-09-04,13:11:09,Dakar
376493000,2025-09-04,13:11:09,Dakar
412331027,2025-09-04,13:11:09,Dakar
663223000,2025-09-04,13:11:09,Dakar
577275000,2025-09-04,13:11:09,Dakar
